時刻,体表温度,体動,脈周期[ms],ラベル
2023/08/02 17:32:26,33.29999923706055,1.0,437.0,2
2023/08/02 17:32:27,33.29999923706055,1.0,437.0,2
2023/08/02 17:32:28,33.29999923706055,1.0,437.0,2
2023/08/02 17:32:29,33.29999923706055,1.0,437.0,2
2023/08/02 17:32:30,33.29999923706055,1.0,428.0,2
2023/08/02 17:32:31,33.400001525878906,1.0,431.0,2
2023/08/02 17:32:32,33.400001525878906,1.0,431.0,2
2023/08/02 17:32:33,33.400001525878906,1.0,431.0,2
2023/08/02 17:32:34,33.400001525878906,1.0,434.0,2
2023/08/02 17:32:35,33.400001525878906,1.0,434.0,2
2023/08/02 17:34:30,34.900001525878906,1.0,622.6666666666666,2
2023/08/02 17:34:31,34.900001525878906,,620.3333333333334,2
2023/08/02 17:34:32,34.900001525878906,,620.3333333333334,2
2023/08/02 17:34:33,34.900001525878906,,622.6666666666666,2
2023/08/02 17:34:34,34.900001525878906,,625.0,2
2023/08/02 17:34:35,34.900001525878906,1.0,625.0,2
2023/08/02 17:34:36,34.900001525878906,1.0,627.0,2
2023/08/02 17:34:37,34.900001525878906,,629.0,2
2023/08/02 17:34:38,34.900001525878906,,631.0,2
2023/08/02 17:34:39,34.900001525878906,,631.0,2
2023/08/02 17:34:40,34.900001525878906,,633.3333333333334,2
2023/08/02 17:34:41,35.0,,635.6666666666666,2
2023/08/02 17:34:42,35.0,,638.0,2
2023/08/02 17:34:43,35.0,,638.0,2
2023/08/02 17:34:44,35.0,,638.0,2
2023/08/02 17:34:45,35.0,1.0,638.0,2
2023/08/02 17:34:46,35.0,1.0,642.6666666666666,2
2023/08/02 17:34:47,35.0,1.0,647.3333333333334,2
2023/08/02 17:34:48,35.0,1.0,654.3333333333334,2
2023/08/02 17:34:49,35.099998474121094,1.0,631.0,2
2023/08/02 17:34:50,35.099998474121094,,631.0,2
2023/08/02 17:34:51,35.099998474121094,,631.0,2
2023/08/02 17:34:52,35.099998474121094,,631.0,2
2023/08/02 17:34:53,35.099998474121094,,631.0,2
2023/08/02 17:34:54,35.099998474121094,,631.0,2
2023/08/02 17:34:55,35.099998474121094,,631.0,2
2023/08/02 17:34:56,35.20000076293945,,631.0,2
2023/08/02 17:34:57,35.20000076293945,,638.0,2
2023/08/02 17:34:58,35.20000076293945,,638.0,2
2023/08/02 17:34:59,35.20000076293945,,638.0,2
2023/08/02 17:35:00,35.20000076293945,1.0,638.0,2
2023/08/02 17:35:01,35.20000076293945,1.0,638.0,2
2023/08/02 17:35:02,35.20000076293945,1.0,638.0,2
2023/08/02 17:35:03,35.29999923706055,1.0,638.0,2
2023/08/02 17:35:04,35.29999923706055,,638.0,2
2023/08/02 17:35:05,35.29999923706055,,631.0,2
2023/08/02 17:35:06,35.29999923706055,,631.0,2
2023/08/02 17:35:07,35.29999923706055,,631.0,2
2023/08/02 17:35:08,35.29999923706055,,631.0,2
2023/08/02 17:35:09,35.29999923706055,,625.0,2
2023/08/02 17:35:10,35.29999923706055,,625.0,2
2023/08/02 17:35:11,35.400001525878906,,618.0,2
2023/08/02 17:35:12,35.400001525878906,,618.0,2
2023/08/02 17:35:13,35.400001525878906,,625.0,2
2023/08/02 17:35:14,35.400001525878906,,625.0,2
2023/08/02 17:35:15,35.400001525878906,,625.0,2
2023/08/02 17:35:16,35.400001525878906,,625.0,2
2023/08/02 17:35:17,35.5,,631.0,2
2023/08/02 17:35:18,35.5,,631.0,2
2023/08/02 17:35:19,35.5,,631.0,2
2023/08/02 17:35:20,35.5,,631.0,2
2023/08/02 17:35:21,35.5,,638.0,2
2023/08/02 17:35:22,35.5,,638.0,2
2023/08/02 17:35:23,35.5,,638.0,2
2023/08/02 17:35:24,35.599998474121094,,638.0,2
2023/08/02 17:35:25,35.599998474121094,,638.0,2
2023/08/02 17:35:26,35.599998474121094,,638.0,2
2023/08/02 17:35:27,35.599998474121094,,652.0,2
2023/08/02 17:35:28,35.599998474121094,,652.0,2
2023/08/02 17:35:29,35.599998474121094,,659.0,2
2023/08/02 17:35:30,35.599998474121094,,659.0,2
2023/08/02 17:35:31,35.599998474121094,,666.0,2
2023/08/02 17:35:32,35.70000076293945,,666.0,2
2023/08/02 17:35:33,35.70000076293945,,666.0,2
2023/08/02 17:35:34,35.70000076293945,,666.0,2
2023/08/02 17:35:35,35.70000076293945,,674.0,2
2023/08/02 17:35:36,35.70000076293945,,674.0,2
2023/08/02 17:35:37,35.70000076293945,,674.0,2
2023/08/02 17:35:38,35.70000076293945,,674.0,2
2023/08/02 17:35:39,35.70000076293945,,666.0,2
2023/08/02 17:35:40,35.70000076293945,,666.0,2
2023/08/02 17:35:41,35.70000076293945,,666.0,2
2023/08/02 17:35:42,35.70000076293945,,666.0,2
2023/08/02 17:35:43,35.70000076293945,,674.0,2
2023/08/02 17:35:44,35.70000076293945,,674.0,2
2023/08/02 17:35:45,35.79999923706055,,681.0,2
2023/08/02 17:35:46,35.79999923706055,1.0,681.0,2
2023/08/02 17:35:47,35.79999923706055,,681.0,2
2023/08/02 17:35:48,35.79999923706055,1.0,681.0,2
2023/08/02 17:35:49,35.79999923706055,1.0,689.0,2
2023/08/02 17:35:50,35.79999923706055,1.0,689.0,2
2023/08/02 17:35:51,35.79999923706055,,689.0,2
2023/08/02 17:35:52,35.79999923706055,,689.0,2
2023/08/02 17:35:53,35.79999923706055,,689.0,2
2023/08/02 17:35:54,35.900001525878906,1.0,689.0,2
2023/08/02 17:35:55,35.900001525878906,1.0,689.0,2
2023/08/02 17:35:56,35.900001525878906,1.0,689.0,2
2023/08/02 17:35:57,35.900001525878906,,689.0,2
2023/08/02 17:35:58,35.900001525878906,,689.0,2
